,feature_importance
Base_excess_in_Arterial_blood_by_calculation_min,0.012588599
Oxygen_administration_by_nasal_cannula_max,0.012049203
Lactate_Massvolume_in_Arterial_blood_max,0.011830597
pH_of_Arterial_blood_max,0.011643911
Hemoglobin_Massvolume_in_Arterial_blood_max,0.011582941
Glasgow_Coma_Score_eye_opening_subscore_min,0.010956679
Plateau_pressure_max,0.010517288
Hemoglobin_Massvolume_in_Arterial_blood_min,0.010052083
Positive_end_expiratory_pressure_setting_min,0.010046856
Lactate_Massvolume_in_Arterial_blood_min,0.009476681
Calciumionized_Molesvolume_in_Blood_min,0.009310691
Glasgow_Coma_Score_eye_opening_subscore_max,0.009270595
MethemoglobinHemoglobintotal_in_Arterial_blood_min,0.008656725
Ventilator_Airway_Code_min,0.008509489
Hemoglobin_Massvolume_in_Blood_min,0.0084753
Glasgow_Coma_Score_verbal_response_subscore_min,0.008076987
Ventilator_rate_max,0.0080430275
Base_excess_in_Arterial_blood_by_calculation_max,0.008010284
MCV_Entitic_volume_max,0.007925099
Potassium_Molesvolume_in_Blood_min,0.0078076734
Carbon_dioxide_Partial_pressure_in_Arterial_blood_max,0.006683304
Platelets_volume_in_Blood_min,0.006513047
Oxygen_saturation_in_Arterial_blood_max,0.006434642
MCHC_Massvolume_in_Cord_blood_min,0.006391131
Leukocytes_volume_in_Blood_min,0.005996991
MethemoglobinHemoglobintotal_in_Arterial_blood_max,0.0059107225
Potassium,0.005863253
Carbon_dioxide_Partial_pressure_in_Arterial_blood_min,0.005672149
Oxygen_Partial_pressure_in_Arterial_blood_max,0.005404516
Sodium_Molesvolume_in_Blood_min,0.005227248
Bronchodilator,0.0050801537
Platelets_volume_in_Blood_max,0.005037687
Sodium_Molesvolume_in_Blood_max,0.004082578
INR_in_Blood_by_Coagulation_assay_max,0.0039893747
Creatine_kinaseMB_Massvolume_in_Serum_or_Plasma_max,0.0039400244
Oxygen_saturation_in_Arterial_blood_min,0.0035259295
Potassium_Molesvolume_in_Blood_max,0.00339756
Oxygen_Partial_pressure_in_Arterial_blood_min,0.0033133875
MCV_Entitic_volume_min,0.0025905326
Glasgow_Coma_Score_motor_response_subscore_min,0.0022967523
Hemoglobin_Massvolume_in_Blood_max,0.001958279
MCH_Entitic_mass_max,0.0017347794
Leukocytes_volume_in_Blood_max,0.0015152986
Positive_end_expiratory_pressure_setting_max,0.0013996693
Glasgow_Coma_Score_motor_response_subscore_max,0.0013617496
MCH_Entitic_mass_min,0.0011479438
Antihypothyroid,0.0009751566
C_reactive_protein_Massvolume_in_Serum_or_Plasma_max,0.0008752561
Calcium,0.00082822616
Phosphorus,0.00079038885
Ventilator_mode_max,0.00045287446
Temperature_max,0.00044347387
Ventilator_Airway_Code_max,0.00038531882
Urea_Molesvolume_in_Venous_blood_max,0.00028609036
Anticonvulsant,0.0002514445
Creatinine_Molesvolume_in_Blood_max,0.00012831918
Antifungal,0.0
Sodium,0.0
Sodium Bicarbonate,0.0
INR_in_Blood_by_Coagulation_assay_min,0.0
Magnesium,0.0
Urea_Molesvolume_in_Venous_blood_min,0.0
Glucose,0.0
Creatine_kinase_panel__Serum_or_Plasma_min,0.0
Creatine_kinaseMB_Massvolume_in_Serum_or_Plasma_min,0.0
Creatinine_Molesvolume_in_Blood_min,0.0
Troponin_Tcardiac_Massvolume_in_Serum_or_Plasma_by_High_sensitivity_method_max,0.0
Temperature_min,0.0
C_reactive_protein_Massvolume_in_Serum_or_Plasma_min,0.0
