Source Table,ID,Variable Name,Unit,Additional information
Observation,24000536,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,g/L,
Observation,24000666,Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay,%,
Observation,24000637,Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,%,
Observation,24000552,Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay,%,
Observation,24000667,Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay,%,
Observation,24000567,INR in Blood by Coagulation assay,,
Observation,24000605,Albumin [Mass/volume] in Serum or Plasma,g/L,
Observation,20005110,Glucose [Moles/volume] in Serum or Plasma,mmol/l,
Observation,24000523,Glucose [Moles/volume] in Serum or Plasma,mmol/l,
Observation,24000585,Glucose [Moles/volume] in Serum or Plasma,mmol/l,
Observation,24000568,Ammonia [Moles/volume] in Blood,umol/l,
Observation,20002200,C reactive protein [Mass/volume] in Serum or Plasma,mg/l,
Observation,24000570,Procalcitonin [Mass/volume] in Serum or Plasma,ug/l,
Observation,24000480,Lymphocytes [#/volume] in Blood,G/l,
Observation,24000550,Neutrophils/100 leukocytes in Blood,%,
Observation,24000556,Segmented neutrophils/100 leukocytes in Blood,%,
Observation,24000557,Band form neutrophils/100 leukocytes in Blood,%,
Observation,24000668,Erythrocyte sedimentation rate,mm/1h,
Observation,20000900,Hemoglobin [Mass/volume] in Blood,g/l,
Observation,24000836,Hemoglobin [Mass/volume] in Blood,g/l,
Observation,20000700,Leukocytes [#/volume] in Blood,G/l,
Observation,20000110,Platelets [#/volume] in Blood,G/l,
Observation,24000160,MCH [Entitic mass],pg,
Observation,24000170,MCHC [Mass/volume] in Cord blood,g/L,
Observation,24000150,MCV [Entitic volume],fl,
Observation,24000678,Ferritin [Mass/volume] in Blood,ug/l,
Observation,24000664,Thyrotropin [Units/volume] in Serum or Plasma,mU/l,
Observation,24000427,Amylase [Enzymatic activity/volume] in Serum or Plasma,U/l,
Observation,24000555,Lipase [Enzymatic activity/volume] in Serum or Plasma,U/l,
Observation,24000665,Cortisol [Moles/volume] in Serum or Plasma,nmol/l,
Observation,24000608,pH of Cerebral spinal fluid,,
Observation,24000564,Lactate [Moles/volume] in Cerebral spinal fluid,mmol/l,
Observation,24000400,Glucose [Moles/volume] in Cerebral spinal fluid,mmol/l,
Observation,24000741,pH of Body fluid,,from drain
Observation,24000587,Amylase [Enzymatic activity/volume] in Body fluid,U/l,from drain
Pharma,1000100,Intravenous blood transfusion of packed cells,,
Pharma,1000743,Intravenous blood transfusion of packed cells,,
Pharma,1000050,Transfusion of plasma (FFP),,
Pharma,1000744,Transfusion of plasma (FFP),,
Pharma,1000245,Platelet transfusion,,
Pharma,1000201,Platelet transfusion,,
Pharma,1000799,Haemocomplettan,,
Pharma,1001152,Haemocomplettan P 1g,,
Pharma,1001153,Haemocomplettan P 2g,,
Pharma,1000701,VIII: Haemete HS,,
Pharma,1001187,II;VII;IX;X;C;S: Beriplex P/N 500 TS Inj Lsg,,
Pharma,1000755,II;VII;IX;X;C;S: Beriplex P/N 500 TS Inj Lsg,,
Pharma,1000798,II;VII;IX;X;C;S: Beriplex P/N 500 TS Inj Lsg,,
Pharma,1000462,Noradrenalin 1mg/ml,,
Pharma,1000656,Noradrenalin 100 µg/ml Perfusor,,
Pharma,1000657,Noradrenalin 20 µg/ml Perfusor,,
Pharma,1000658,Noradrenalin 10 µg/ml Bolus,,
Pharma,71,Adrenalin  1mg/ml,,
Pharma,1000750,Adrenalin 100 µg/ml Bolus,,
Pharma,1000649,Adrenalin 20 µg/ml Perfusor,,
Pharma,1000650,Adrenalin 100 µg/ml Perfusor,,
Pharma,1000655,Adrenalin 10 µg/ml Bolus,,
Pharma,426,Dobutrex 250 mg/20ml,,
Pharma,1000441,Corotrop Inj Lsg 1mg/ml 10 ml,,
Pharma,1000606,Simdax inf,,
Pharma,1000706,Euphyllin N Perfusor,,
Pharma,1000707,Euphyllin N Bolus,,
Pharma,1000698,Aminophyllin BOLUS,,
Pharma,1000267,Aminophyllin 240 mg,,
Pharma,112,Vasopressin inj 20 U/ml,,
Pharma,113,Vasopressin inf 0.4 U/ml,,
Pharma,142,Minirin inj,,
Pharma,1001047,Nitroprussiat Fides 0.5mg/ml,,
Pharma,1000252,Sodium nitro,,
Pharma,1000458,Nitroderm TTS 5,,
Pharma,1000459,Nitroderm TTS 10,,
Pharma,1000795,Isoket Dosieraerosol,,
Pharma,1000695,Nipruss 1mg/ml,,
Pharma,1000867,Nitriate 0.5mg/ml,,
Pharma,1000243,Perlinganit mg/ml inf,,
Pharma,1000734,Perlinganit Perfusor,,
Pharma,1000993,Sorbidilat Kps 40mg,,
Pharma,1000868,Nitriate 1mg/ml,,
Pharma,1001048,Nitroprussiat Fides 1mg/ml,,
Pharma,1001141,Nitroprusside DBL 0.5 mg/ml,,
Pharma,1001142,Nitroprusside DBL 1mg/ml,,
Pharma,117,Nitroglycerin Kps 0.8mg,,
Pharma,1000293,Lopirin Tabl 12.5 mg,,
Pharma,1000294,Lopirin Tbl 25 mg,,
Pharma,1000813,Captopril Tabl 25 mg,,
Pharma,1000341,Enatec Tbl 10 mg,,
Pharma,1000342,Enatec Tbl 20 mg,,
Pharma,1000343,Enatec Tbl 5 mg,,
Pharma,1000414,Lisinopril Tbl 20mg,,
Pharma,1000415,Zestril Tbl 5 mg,,
Pharma,1001080,Losartan Tabl 50 mg,,
Pharma,1000419,Cosaar Tbl 50 mg,,
Pharma,1000720,CoAprovel,,
Pharma,1001071,Diltiazem Tbl 60 mg,,
Pharma,1000331,Dilzem retard Filmtbl 120 mg,,
Pharma,121,Diltiazem tabl 30 mg,,
Pharma,1000719,Amlodipin Tbl 5mg,,
Pharma,1000270,Norvasc Tabl 10 mg,,
Pharma,1000271,Norvasc Tabl 5 mg,,
Pharma,1000872,Amlodipin Tbl 5 mg,,
Pharma,1000873,Amlodipin Tbl 10 mg,,
Pharma,1000457,Adalat retard CR Tbl 30 mg,,
Pharma,1000876,Adalat retard Tbl 20 mg,,
Pharma,94,Isoptin inj 2.5 mg/ml,,
Pharma,1000536,Isoptin Tbl 80 mg,,
Pharma,1000987,Tenormin  Tabl 100mg,,
Pharma,1000278,Tenormin mite Tabl 50 mg,,
Pharma,141,Tenormin submite tabl 25 mg,,
Pharma,1000721,Bilol 5 mg Tbl.,,
Pharma,1000898,Concor Tbl 5 mg,,
Pharma,1000297,Dilatrend Tabl 12.5 mg,,
Pharma,1000298,Dilatrend Tabl 6.25 mg,,
Pharma,1001082,Carvedilol Tabl 12.5 mg,,
Pharma,1000346,Esmolol Inj Lsg 100 mg /10 ml,,
Pharma,1000347,Brevibloc 2 5g/10ml,,
Pharma,1000828,Trandate Perfusor,,
Pharma,386,Trandate inj,,
Pharma,1000758,Beloc Perfusor,,
Pharma,1000596,Metoprolol Tartrat Tbl 10 mg,,
Pharma,1000436,Beloc Inj Lsg,,
Pharma,1000438,Beloc zok ret. Tbl 100 mg,,
Pharma,1000439,Beloc ZOK ret Tbl 50 mg,,
Pharma,1000440,Beloc ZOK ret Tbl 25 mg,,
Pharma,1001087,Nebivolol Tabl 5 mg,,
Pharma,1000950,Nebilet Tbl à 5 mg,,
Pharma,1000492,Inderal Tbl 10 mg,,
Pharma,1000493,Inderal Tbl 40 mg,,
Pharma,138,Sotalex Tabl 80 mg,,
Pharma,85,Nepresol inj 12.5 mg/ml,,
Pharma,1000477,Regitin Inj Lsg 10 mg/ml,,
Pharma,1000763,Ebrantil Inj Lsg,,
Pharma,1000442,Loniten Tbl 10 mg,,
Pharma,1000443,Loniten Tbl 2.5 mg,,
Pharma,1000334,Cardura CR Tbl 4 mg,,
Pharma,1000258,Krenosin Inj Lsg,,
Pharma,348,Digoxin Tabl 0.25 mg,,
Pharma,1,Digoxin inj 0.25 mg/ml,,
Pharma,1000901,Digoxin Tabl 0.125 mg,,
Pharma,431,Cordarone inj 50 mg/ml,,
Pharma,1000268,Cordarone Tbl 200 mg,,
Pharma,1000821,Cordarone Perfusor,,
Pharma,11,Atropine Sulfat Sintetica inj 0.5 mg/ml,,
Pharma,1000787,Moduretic mite Tabl 50/2.5,,
Pharma,1001083,Moduretic mite Tabl 2.5 mg/25 mg,,
Pharma,1000524,Dyrenium comp. Kps,,
Pharma,1000505,Aldactone Filmtbl 100 mg,,
Pharma,1000506,Aldactone Filmtbl 25 mg,,
Pharma,1000877,Aldactone Filmtbl 50,,
Pharma,1000636,Soldactone Amp.,,
Pharma,1000747,Lasix Bolus 20mg  Amp.,,
Pharma,482,Lasix Perfusor 250 mg Amp.,,
Pharma,1000232,Furosemide 10 mg/ml inj,,
Pharma,4,Lasix 40 mg tabl,,
Pharma,1000986,Torem Tbl 200 mg,,
Pharma,1000520,Torem Inj Lsg 10 mg/2 ml,,
Pharma,1000521,Torem Tbl 10 mg,,
Pharma,1000522,Torem Tbl 5 mg,,
Pharma,1000428,Metolazon Tbl 5 mg,,
Pharma,1000254,Diamox Tbl 250 mg,,
Pharma,438,Diamox inj 500 mg/5ml,,
Pharma,10002508,Haemofiltration,,
Pharma,1000233,Penicillin 50 000 U/ml,,
Pharma,1000273,Clamoxyl Inj Lsg,,
Pharma,1000601,Clamoxyl Inj Lsg 2g,,
Pharma,1000272,Augmentin Tabl 625 mg,,
Pharma,1001095,Co-Amoxi Tbl 625 mg,,
Pharma,1001096,Co-Amoxi Tbl 1g,,
Pharma,1001097,Co-Amoxi 1.2 g Inj Lsg,,
Pharma,1001098,Co-Amoxi 2.2g Inf Lsg,,
Pharma,1000274,Augmentin 1.2 Inj Lsg,,
Pharma,1000549,Augmentin Inj 2.2g,,
Pharma,1000812,Augmentin 2.2 Inf Lsg,,
Pharma,1000781,Augmentin AD Tbl 1 g,,
Pharma,1000284,Penicillin G 1 Mio,,
Pharma,1000299,Kefzol Inj Lsg,,
Pharma,1000671,Kefzol Stechamp 2g,,
Pharma,1000300,Cepimex,,
Pharma,1000825,Cefepime 2g Amp.,,
Pharma,1000666,Cepimex Amp 1g,,
Pharma,1000302,Fortam 1 g Inj Lsg,,
Pharma,1000830,Fortam 2g Inj Lsg,,
Pharma,163,Fortam Stechamp 2g,,
Pharma,1000304,Rocephin 2g,,
Pharma,1000838,Rocephin 2 g Inf Lsg,,
Pharma,1000648,Rocephin 1 g Inf Lsg,,
Pharma,1000305,Zinacef Amp 1.5 g,,
Pharma,1000306,Zinat Tabl 500 mg,,
Pharma,1000234,Zinacef inj 100 mg/ml,,
Pharma,1000315,Ciproxin Tbl 250 mg,,
Pharma,1000893,Ciproxin Tbl 500 mg,,
Pharma,176,Ciproxin 200 mg/100ml,,
Pharma,1000894,Ciproxin Infusion 400 mg,,
Pharma,1000317,Klacid Tbl 500 mg,,
Pharma,1000318,Klacid Amp 500 mg,,
Pharma,1000829,Dalacin C 600 Phosphat Amp.,,
Pharma,1000320,Dalacin C Kps 300 mg,,
Pharma,1000321,Dalacin C Phosphat Inj Lsg 300 mg,,
Pharma,1000322,Dalacin Phosphat Inj Lsg 600 mg,,
Pharma,1001170,Clindamycin Kps 300 mg,,
Pharma,1001169,Clindamycin Posphat 600,,
Pharma,1001168,Clindamycin Posphat 300,,
Pharma,1001075,Doxyclin Tbl 100 mg,,
Pharma,1000335,Vibravenös Inj Lsg 100 mg 5 ml,,
Pharma,1000791,Erythrocin Inf Lsg,,
Pharma,1000352,Floxapen Inj Lsg,,
Pharma,1000670,Floxapen Inj Lsg 2g,,
Pharma,1000363,Garamycin,,
Pharma,1000365,SDD Gentamycin/Polymyxin Kps,,
Pharma,1000518,Tienam 500 mg,,
Pharma,1000390,Rifater Drg 50 mg,,
Pharma,1000407,Tavanic Tbl 500 mg,,
Pharma,1000408,Tavanic Inf Lsg 500 mg 100 ml,,
Pharma,1001084,Meropenem 500 mg,,
Pharma,1001086,Meropenem 1g,,
Pharma,1000424,Meronem 1g,,
Pharma,1000425,Meronem 500 mg,,
Pharma,1000426,Salofalk Tbl 500 mg,,
Pharma,1000437,Flagyl Tbl 500 mg,,
Pharma,300,Metronidazole tabl 200 mg,,
Pharma,181,Metronidazole inf 500 mg/100ml,,
Pharma,1000854,Avalox Filmtbl 400 mg,,
Pharma,1000855,Avalox Inf Lsg 400 mg,,
Pharma,1001171,Norfloxacin Filmtbl 400 mg,,
Pharma,326,Noroxin tabl 400 mg,,
Pharma,1000483,Tazobac Inf 4g,,
Pharma,405,Tazobac 2 g inf,,
Pharma,1000837,Piperacillin-Tazobactam 2.25 Inj Lsg,,
Pharma,1001068,Rifampicin Filmtbl 600 mg,,
Pharma,1001173,Rifampicin Inf Lsg,,
Pharma,186,Rimactan inf 300 mg,,
Pharma,1000797,Rimactan Kps 300 mg,,
Pharma,351,Rimactan Kps 600 mg,,
Pharma,1001005,Colidimin Tbl 200 mg,,
Pharma,1001079,Xifaxan Tabl 550 mg,,
Pharma,1001193,Bactrim Amp 400/80 mg Inf Lsg,,
Pharma,1001198,Bactrim Amp. 400/80 mg Inf Lsg,,
Pharma,1000507,Bactrim forte Lacktbl,,
Pharma,1000508,Bactrim Inf Lsg,,
Pharma,1000519,Obracin 80 mg,,
Pharma,1000760,Topamax Tbl 50 mg,,
Pharma,331,Vancocin oral Kps 250 mg,,
Pharma,189,Vancocin  Amp 500 mg,,
Pharma,1000348,Myambutol 400 mg/4ml,,
Pharma,308,Fungizone Amp,,
Pharma,1000669,AmBisome Inf Lsg,,
Pharma,1000622,Ampho-Moronal Susp,,
Pharma,1000878,Ampho-Moronal Lutschtabletten,,
Pharma,1001013,Ecalta Amp 100 mg,,
Pharma,1000617,Cancidas 70 mg,,
Pharma,1000618,Cancidas 50 mg,,
Pharma,1000644,Dequonal Gurgellösung,,
Pharma,1000354,Diflucan Kps 50 mg,,
Pharma,1000355,Diflucan Inf Lsg 200 mg,,
Pharma,1000675,Diflucan Susp Forte,,
Pharma,1000353,Diflucan Kps 200 mg,,
Pharma,1000551,Mycostatin Susp,,
Pharma,1001027,Noxafil Susp,,
Pharma,1001078,Noxafil Tabl 100 mg,,
Pharma,1001138,Voriconazol Filmtbl 50 mg,,
Pharma,1001140,Voriconazol Inf Lsg 200 mg/ 20 ml,,
Pharma,1000661,Vfend Filmtbl 200 mg,,
Pharma,1000662,Vfend Filmtbl 50 mg,,
Pharma,1000663,Vfend Amp,,
Pharma,190,Zovirax inf 250 mg,,
Pharma,1001126,Foscavir Inf Lsg 6000mg/250ml,,
Pharma,1000362,Cymevene 500 mg,,
Pharma,1000765,Tamiflu Kps 75 mg,,
Pharma,1001099,Tamiflu Kps 30 mg,,
Pharma,1001100,Tamiflu Suspension,,
Pharma,1000530,Valtrex Tbl 500 mg,,
Pharma,1000979,Valcyte Filmtabl. 450mg,,
Pharma,1000260,Zentel Tbl 400 mg,,
Pharma,442,Rivotril 0.5 mg/ml,,
Pharma,1001215,Rivotril Perfusor,,
Pharma,1000977,Valium Tbl. 5 mg,,
Pharma,1000978,Valium Tbl. 10 mg,,
Pharma,245,Valium inj 5 mg/ml,,
Pharma,246,Diazepam tabl 5 mg,,
Pharma,1000988,Temesta Expidet 2.5 mg,,
Pharma,1000239,Temesta inj Amp 4mg/ml,,
Pharma,1000418,Temesta Expidet 1mg,,
Pharma,1000700,Dormicum 5mg/ml BOLUS,,
Pharma,1001051,Dormicum Perfusor 5mg/ml,,
Pharma,1001054,Dormicum Bolus 1mg/ml,,
Pharma,1000902,Dormicum Tbl 7.5 mg,,
Pharma,251,Dormicum inj 1 mg/ml,,
Pharma,252,Dormicum Perfusor 5 mg/ml,,
Pharma,1000976,Seresta 15 mg,,
Pharma,1000991,Stilnox Tbl 10mg,,
Pharma,1001049,Dexdor Inf. Lsg,,
Pharma,1000847,Dexdor Inf. Lsg,,
Pharma,1000475,Phenobarbital 200 mg/2ml,,
Pharma,1000607,Pentothal inj 0.5g,,
Pharma,202,Pentothal 1g Inf Lsg,,
Pharma,1000491,Disoprivan 1%,,
Pharma,1001050,Disoprivan 2%,,
Pharma,1001052,Disoprivan 2% BOLUS,,
Pharma,1001053,Disoprivan 1%,,
Pharma,208,Disoprivan 2%,,
Pharma,1000691,Disoprivan  BOLUS 2% 20mg/ml,,
Pharma,1000699,Disoprivan 2% BOLUS,,
Pharma,1000746,Glucose 20%/100ml Pflege,,
Pharma,1000544,Glucose 20% /100ml,,
Pharma,1000545,Glucose 40%,,
Pharma,1000567,Glucose 50%,,
Pharma,1000060,Glucose 30%,,
Pharma,1000835,Glucose 20% /500ml,,
Pharma,1000022,Glucose 10%,,
Pharma,1000690,Glucose 10%,,
Pharma,1000689,Glucose 20%,,
Pharma,1000963,Insulin Lantus,,
Pharma,1000379,Insulin Mixtard 30 HM,,
Pharma,1000381,Insulin Insulatard HM,,
Pharma,1000724,Insulin NovoRapid,,
Pharma,15,Insulin Actrapid inj 100 U/ml,,
Pharma,124,Nimotop inf 0.2 mg/ml,,
Pharma,125,Nimotop Tabl 30 mg,,
Pharma,214,Pethidine inj 50 mg/ml,,
Pharma,215,Methadon inj 10 mg/ml,,
Pharma,1000427,Methadon oral 0.5% 5mg/ml,,
Pharma,1000251,Fentanyl inj 50 µg/ml,,
Pharma,1000350,Durogesic TTS 25 ug,,
Pharma,1000351,Durogesic TTS 50 ug,,
Pharma,1000627,Durogesic TTS Matrix 100 ug,,
Pharma,1000768,Durogesic Matrix 12 ug/h,,
Pharma,1000692,Fentanyl Bolus inj 50 µg/ml,,
Pharma,1000444,Morphin Trpf 1% 10mg/ml,,
Pharma,1000445,MST Continus ret Tbl 30,,
Pharma,1000446,MST Continus ret. Tbl 60,,
Pharma,1000659,Morphin HCL Perfusor,,
Pharma,1000862,Morphine Inj à 10mg,,
Pharma,1000932,Morphin HCl Lsg à 20mg/ml,,
Pharma,1000933,MST Continus ret Tbl 10 mg,,
Pharma,1000705,Ultiva Inj Lsg,,
Pharma,1000771,Sufentanyl Perfusor,,
Pharma,1000935,Oxycontin Ret Tbl à 10mg,,
Pharma,1000936,Oxycontin Ret Tbl à 20mg,,
Pharma,1000937,Oxynorm Trpf 10mg/ml,,
Pharma,1000989,Targin Retard Tbl 10/5mg,,
Pharma,1000990,Targin Retard Tbl 20/10mg,,
Pharma,1000984,Tramal Kps 50 mg,,
Pharma,1000985,Tramal Retard  Tbl. 100 mg,,
Pharma,1000523,Tramal Trpf 100 mg/ml,,
Pharma,1001046,Tramal Amp. 100 mg,,
Pharma,1000794,Hydrocodon Inj Lsg,,
Pharma,1000382,Hydrocodon  Inj Lsg 15mg/ ml,,
Pharma,204,Rapifen inj 0.5 mg/ml,,
Pharma,275,Dafalgan tabl 500 mg,,
Pharma,1000471,Dafalgan Brausetbl 1g,,
Pharma,1000472,Dafalgan Brausetbl 500 mg,,
Pharma,1000473,Dafalgan Supp 600 mg,,
Pharma,1000489,Perfalgan 1g,,
Pharma,1000490,Perfalgan 500 mg,,
Pharma,1000683,Dafalgan Tabl 1g,,
Pharma,1000900,Dafalgan ODIS Schmelz Tabl 500 mg,,
Pharma,225,Benuron supp 1000 mg,,
Pharma,1000605,Novalgin inj lös 50% 2 ml,,
Pharma,1000632,Novalgin Trpf,,
Pharma,1000858,Novalgin Tbl. à 500mg,,
Pharma,1000329,Voltaren Drg 50,,
Pharma,1000809,Voltaren Inf Lsg,,
Pharma,1000859,Voltaren Tbl. à 75mg,,
Pharma,1000883,Brufen Filmtbl. 200 mg,,
Pharma,1000884,Brufen Filmtbl. 400 mg,,
Pharma,1000885,Brufen Filmtbl. 600 mg,,
Pharma,1000401,Tora-dol Inj Lsg 30 mg,,
Pharma,1001194,Ketalar 5mg/ml Perfusor Schmerzdienst,,
Pharma,1000400,Ketalar Inj Lsg 500 mg/10 ml,,
Pharma,1000621,Fentanyl-PCA-Lösung,,
Pharma,1000684,Morphin als PCA Pumpe,,
Pharma,1000688,Paravertebralblock-Lösung,,
Pharma,1000716,PCA-Morphin,,
Pharma,1000717,PDA-Forte,,
Pharma,1000741,Fentanyl Perf,,
Pharma,1000761,PDA-Forte Bolus,,
Pharma,1000762,PDA-Standard Bolus,,
Pharma,1000843,PDA-Bupivacain 0.125% ohne Fentanyl,,
Pharma,1000383,Solu Cortef Inj Lsg 100 mg/ 2 ml,,
Pharma,1000770,Hydrocortone Tbl 10 mg,,
Pharma,1000431,Solu Medrol Stechamp 1g,,
Pharma,1000432,Solu Medrol Stechampullen 2g,,
Pharma,1000433,Solu Medrol 125 mg,,
Pharma,1000434,Solumedrol 500 mg,,
Pharma,1000435,Solumedrol 40 mg,,
Pharma,1000486,Prednison Tbl 20 mg,,
Pharma,1000487,Prednison Tbl 5 mg,,
Pharma,1000488,Prednison Tbl 50 mg,,
Pharma,151,Prednisolone tabl 20 mg,,
Pharma,146,Betamethasone inj 4 mg/ml,,
Pharma,1000929,Mephameson Inj Lsg 8mg/ml,,
Pharma,1000325,Mephameson 4mg/ml,,
Pharma,1000769,Fortecortin Tbl 4 mg,,
Pharma,1000253,Aspégic Inj Lsg 500 mg/5ml,,
Pharma,1000255,Aspirin cardio Tbl 300 mg,,
Pharma,1000256,Aspirin Tbl 100 mg,,
Pharma,1000257,Aspirin Tbl 500 mg,,
